정류소번호,정류소명,총계,성인 승차 인원,청소년 승차 인원,어린이 승차 인원,위도,경도
1041,동구청,184917,160912,22069,1936,35.14663845,126.92204435
4460,운암초교,184503,154595,28321,1587,35.17949738,126.87214397
4570,풍향시장,183790,170688,11923,1178,35.16193815,126.92960642
2270,기아자동차,183087,163222,18888,978,35.15872338,126.87684885
3217,주월중입구,182839,146272,33462,3105,35.12836600,126.90468700
5436,보훈병원,182775,163116,17896,1764,35.20674167,126.84870278
2011,금호한국아파트,182691,143335,30710,8646,35.13341419,126.85949847
2197,유덕초교,182616,158602,22062,1952,35.16465058,126.86330392
2259,풍암모아아파트,181948,146110,30976,4861,35.12491374,126.87569339
3160,송하삼익아파트,180878,154825,22314,3738,35.11098009,126.89402527
5707,수완새한포유,180630,143356,34537,2737,35.18805000,126.81403833
4338,신안교,180456,163935,14810,1711,35.17074853,126.89696437
3155,송암공단입구,180178,115065,39629,25484,35.10852441,126.87846895
4333,광주역,178868,161143,16955,770,35.16468333,126.90697222
5428,남부대,178774,121460,56111,1204,35.20680000,126.84268200
5298,목련마을8단지,178468,150748,26557,1163,35.17946857,126.81600172
5410,첨단1동주민센터,177834,115946,36585,25303,35.21959800,126.84173000
4376,오치초교,177106,159740,16202,1165,35.18624444,126.89818333
1119,롯데백화점,176581,170056,5680,845,35.15438611,126.91095556
2215,상무금호아파트,176420,89116,51855,35449,35.14936272,126.84313651
1156,삼익세라믹,173821,121086,46892,5843,35.13074638,126.92947443
5566,산정중입구,173205,121143,34172,17890,35.17022800,126.80275400
4415,동강대,172743,133784,37821,1138,35.16891944,126.92027059
1056,법원입구,172335,161088,10000,1248,35.15203933,126.93060095
2042,돌고개역(서),171004,154889,15329,786,35.15170102,126.89466877
4580,일곡삼호아파트,170968,91724,49758,29486,35.21344929,126.89766388
5744,수완모아엘가,170580,138600,30369,1612,35.18850800,126.82339300
1044,동구청,170393,141076,25943,3373,35.14741111,126.92178889
1116,대인시장(서),170201,160183,8558,1460,35.15333435,126.91631245
5166,영광통,168772,140751,23204,4817,35.14225964,126.79559895
5296,목련마을6단지,167945,137068,27651,3227,35.17756670,126.81740278
4408,전남대후문(북),165524,147976,16993,555,35.17645278,126.91225278
4527,유동사거리,165391,152623,11809,959,35.15886126,126.90649521
3195,대성사거리,163635,146592,16098,945,35.14246793,126.90295044
4347,전남대,163330,146771,16062,497,35.17020100,126.90410100
5126,대성사거리,162453,137942,22061,2450,35.14312660,126.90289271
4163,두암주공입구,161717,140852,18608,2257,35.16640278,126.93231389
4343,신안사거리,161254,146164,13468,1622,35.16570642,126.90413506
4339,신안교,160930,145700,14507,723,35.17064722,126.89613889
2275,신세계백화점(북),160713,148879,11071,763,35.15954254,126.88343707
1100,연진회미술원,160708,119372,26143,15192,35.13223500,126.93823200
1135,충장치안센터,159890,128193,30335,1362,35.14860833,126.91344167
5322,흑석사거리(동),159796,133276,23444,3076,35.17989270,126.80966619
3136,조봉초교,158294,104513,45369,8412,35.12304722,126.91212222
3145,KBC방송국,158210,143287,13177,1747,35.14366417,126.90710009
2024,마재대주아파트,157615,122311,32781,2523,35.12739852,126.85752347
4539,엔씨백화점,156707,149289,6907,512,35.16171258,126.90779589
3213,백운광장,156444,136750,18216,1478,35.13178300,126.90007500
2010,금호시영아파트,155904,134677,19846,1381,35.13603523,126.85889798
4172,두암라인동산아파트,154471,129015,19648,5808,35.17156944,126.93563333
5157,송정대덕아파트,153399,106117,33223,14059,35.13548683,126.79777978
4401,유창아파트,153192,135667,16577,949,35.17694430,126.89726993
3189,까치고개,153109,137259,13997,1853,35.13918976,126.90194263
2088,운천저수지,153002,134182,17941,879,35.14807400,126.85665600
2081,상무지구입구,152985,133434,17046,2504,35.14751827,126.85069827
5183,신가우미아파트,152850,131983,19753,1114,35.18525231,126.83618074
3289,효천천년나무3단지,152167,88082,34690,29395,35.10168000,126.88892700
2228,상무지구입구,151885,139714,10691,1480,35.14798610,126.85090488
4247,샛터코아,151115,110347,32053,8715,35.18572251,126.92107231
1027,산수오거리,150662,134930,14619,1114,35.15560278,126.93155622
5406,응암공원,150491,116588,31256,2648,35.21612385,126.83445556
3186,월산5동,150389,134652,15182,556,35.14136700,126.89390000
2283,화정중흥파크,149708,138860,9970,879,35.15533289,126.88317701
5306,운남삼성아파트,148387,126496,20245,1646,35.17422778,126.81718889
1128,전남여고,147232,125507,20446,1279,35.15069224,126.92014377
5194,신창초교,146997,116116,29232,1649,35.19842176,126.84031973
3240,동성고,146310,95635,46514,4160,35.11577413,126.89764165
1046,전남대병원오거리,145739,133100,11074,1564,35.14343056,126.92077500
1005,4.19기념관,145600,128392,16021,1187,35.16182500,126.91783611
1118,동부소방서,144844,137567,5166,2111,35.15523084,126.91333831
3280,남구청,144274,125806,16988,1480,35.13163212,126.90280027
2290,염주맨션,144233,96610,46188,1435,35.14339094,126.88068821
4399,용주초교,144053,132400,10688,966,35.18149444,126.89824444
3179,월산마을,143415,126165,16801,449,35.14194969,126.88826973
4068,양산호반2차,143358,105968,27905,9485,35.21285234,126.88144367
2246,마재우체국,143249,102014,35807,5427,35.12419167,126.86491667
4230,문흥1동주민센터,143020,76639,46394,19987,35.18735556,126.92127500
2233,시청,142822,115683,25850,1288,35.15891100,126.85424600
3118,라인효친,142747,92979,48352,1416,35.12753538,126.91749463
2238,한국국토정보공사,142218,127554,13656,1008,35.15638113,126.84864005
5449,첨단라인아파트,141940,114471,25854,1616,35.21760184,126.83877988
3190,까치고개,141606,118748,20966,1893,35.14048611,126.90205000
5717,하남도시공사아파트,141596,92559,30014,19024,35.17441605,126.80003846
5164,신동사거리,141236,81585,35163,24488,35.13389600,126.78948700
4178,문화초교,141142,115670,20469,5003,35.17321667,126.93269444
4414,주공아파트,140736,126316,12593,1828,35.17995833,126.91400000
4003,거진,140356,119276,18986,2094,35.21192300,126.87429400
5203,공항역,139911,118982,19342,1587,35.14401842,126.81053715
2320,만호마을,139792,76795,38361,24637,35.13185400,126.85099200
4187,두암주공아파트,139441,127617,9600,2224,35.16362500,126.93689167
5271,광산중,137707,115292,20734,1681,35.15890276,126.80790316
4436,경신여고(일방로),136899,103438,32559,902,35.17370897,126.88857410
4569,풍향시장,136657,123095,11752,1810,35.16177646,126.92923889
2258,풍암모아아파트,136266,112659,22017,1589,35.12522382,126.87579560
4382,비엔날레전시관입구,135064,96851,22975,15238,35.18045833,126.88998056
2014,CBS방송국,134408,111256,20800,2351,35.14010847,126.85850938
5392,과기원,133725,66987,34267,32472,35.22469831,126.84098697
2300,화정중,133724,102099,30416,1209,35.14552881,126.88228889
4252,삼각그린타운,133079,107769,22433,2877,35.19611594,126.89980373
2079,상무중,132517,116562,14891,1064,35.14510584,126.85730144
3226,서남하이츠(국제양궁장),132351,113180,18167,1004,35.13164370,126.89069770
5417,첨단라인아파트,131001,90494,35377,5130,35.21796045,126.83866063
1117,동부소방서,130749,120051,6333,4365,35.15445278,126.91416667
4447,광주지방기상청,130676,102145,28195,335,35.17243229,126.89066427
4400,용주초교,130076,96737,31748,1591,35.18116857,126.89855039
3143,향교,130011,121772,7802,437,35.14490379,126.90908429
2237,한국국토정보공사,128924,114434,13392,1099,35.15579429,126.84804872
5260,영광통,128657,108618,17796,2244,35.14250702,126.79538955
